name,location_color,location,year_color,year
USA/MI/2014-19238,#698fda,USA,#bb1133,2014
USA/MI/2014-19251,#698fda,USA,#bb1133,2014
USA/MO/2014-19166,#698fda,USA,#bb1133,2014
USA/MO/2014-19174,#698fda,USA,#bb1133,2014
USA/MS/2014-19052,#698fda,USA,#bb1133,2014
USA/MS/2014-19204,#698fda,USA,#bb1133,2014
USA/MS/2014-19243,#698fda,USA,#bb1133,2014
USA/MT/2014-19216,#698fda,USA,#bb1133,2014
USA/NC/2014-19064,#698fda,USA,#bb1133,2014
USA/NC/2014-19229,#698fda,USA,#bb1133,2014
USA/NC/2014-19248,#698fda,USA,#bb1133,2014
USA/NC/2014-19254,#698fda,USA,#bb1133,2014
USA/ND/2014-19205,#698fda,USA,#bb1133,2014
USA/ND/2014-19252,#698fda,USA,#bb1133,2014
USA/NE/2014-19206,#698fda,USA,#bb1133,2014
USA/NE/2014-19257,#698fda,USA,#bb1133,2014
USA/NJ/2014-19212,#698fda,USA,#bb1133,2014
USA/NJ/2014-19250,#698fda,USA,#bb1133,2014
USA/NJ/2014-19262,#698fda,USA,#bb1133,2014
USA/NY/2016-19505,#698fda,USA,#5d091a,2016
USA/OH/2014-19192,#698fda,USA,#bb1133,2014
USA/OH/2014-19223,#698fda,USA,#bb1133,2014
USA/OH/2014-19240,#698fda,USA,#bb1133,2014
USA/OK/2014-19170,#698fda,USA,#bb1133,2014
USA/OK/2014-19247,#698fda,USA,#bb1133,2014
USA/OR/2014-19073,#698fda,USA,#bb1133,2014
USA/PA/2014-19035,#698fda,USA,#bb1133,2014
USA/PA/2014-19177,#698fda,USA,#bb1133,2014
USA/PA/2014-19263,#698fda,USA,#bb1133,2014
USA/RI/2014-19203,#698fda,USA,#bb1133,2014
USA/RI/2014-19213,#698fda,USA,#bb1133,2014
USA/RI/2014-19214,#698fda,USA,#bb1133,2014
USA/SC/2014-19196,#698fda,USA,#bb1133,2014
USA/SC/2014-19215,#698fda,USA,#bb1133,2014
USA/SC/2014-19239,#698fda,USA,#bb1133,2014
USA/SD/2014-19193,#698fda,USA,#bb1133,2014
USA/SD/2014-19194,#698fda,USA,#bb1133,2014
USA/SD/2014-19207,#698fda,USA,#bb1133,2014
USA/SD/2014-19249,#698fda,USA,#bb1133,2014
USA/TN/2014-19260,#698fda,USA,#bb1133,2014
USA/TX/2014-19185,#698fda,USA,#bb1133,2014
USA/TX/2014-19228,#698fda,USA,#bb1133,2014
USA/TX/2014-19261,#698fda,USA,#bb1133,2014
USA/TX/2016-19506,#698fda,USA,#5d091a,2016
USA/UT/2014-19195,#698fda,USA,#bb1133,2014
USA/VA/2014-19178,#698fda,USA,#bb1133,2014
USA/VA/2014-19181,#698fda,USA,#bb1133,2014
USA/VA/2014-19187,#698fda,USA,#bb1133,2014
USA/VA/2014-19218,#698fda,USA,#bb1133,2014
USA/VA/2014-19255,#698fda,USA,#bb1133,2014
USA/VT/2014-19245,#698fda,USA,#bb1133,2014
USA/VT/2014-19259,#698fda,USA,#bb1133,2014
USA/WA/2014-19060,#698fda,USA,#bb1133,2014
USA/WA/2014-19184,#698fda,USA,#bb1133,2014
USA/WA/2014-19210,#698fda,USA,#bb1133,2014
USA/WI/2014-19217,#698fda,USA,#bb1133,2014
USA/WI/2014-19222,#698fda,USA,#bb1133,2014
USA/WI/2014-19226,#698fda,USA,#bb1133,2014
USA/WV/2014-19242,#698fda,USA,#bb1133,2014
USA/WY/2014-19051,#698fda,USA,#bb1133,2014
USA/WY/2014-19253,#698fda,USA,#bb1133,2014
V12-2268728, #ff33a0,HKG,#dc143c,2012
V13-2245157, #ff33a0,HKG,#d2143a,2013
V14-8151546, #ff33a0,HKG,#bb1133,2014
37-99,#E89C96,FRA,#f6a2b3,2005
